Sample,SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,MnO,longitude,latitude,block,samplecomp,Sc,V,Cr,Mn,Co,Ni,Cu,Zn,Rb,Sr,Y,Zr,Nb,Mo,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,Ta,W,Th,U
B-122,61,14.8,6.7,2.64,4.83,3.6,4.25,0.62,0.36,0.12,-116.9483,34.2825,SanBernardino,b-122,15.44,147.45,62.05,0.16,20.28,10.56,43.35,55.47,152,734.72,23.9,126.47,13.13,2.34,1.59,842.77,38.58,80.61,9.78,38.43,8,1.83,6.12,0.86,4.55,0.95,2.71,0.39,2.54,3.9,0.91,0.54,13.32,3.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-123,56.9,13.2,8.28,4.83,6.48,3.22,4.63,0.67,0.49,0.17,-116.9888,34.3105,SanBernardino,b-123,19.06,184.12,150.72,0.24,32.68,21.82,95.1,84.97,162,806.1,23.13,241.38,13.02,3.74,1.62,722.45,46.75,97.85,11.98,43.6,8.94,2.1,6.65,1.1,4.91,1.11,3.01,0.63,2.91,7.08,1.32,1.3,27.09,6.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-124,72.5,13.8,2.22,0.55,1.89,3.31,4.14,0.27,0.11,0.05,-117.0178,34.2835,SanBernardino,b-124,4.43,30.52,32.29,0.07,4.73,3.34,20.04,41.39,182,311.61,10.53,137.06,14.68,3.34,2.64,748,27.21,57.53,6.67,25.36,4.17,1.05,3.09,0.37,2.3,0.48,1.24,0.31,0.95,3.95,1.22,0.34,18.67,3.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-125,72.8,14.1,1.84,0.42,1.49,3.5,4.28,0.27,0.1,0.04,-117.0853,34.2784,SanBernardino,b-125,5.04,13.54,18.22,0.06,2.86,3.09,17.07,37.71,207,330.12,7.71,137.02,17.16,2.76,2.77,845.09,24.61,59.44,7.15,24.2,4.3,1.04,2.86,0.49,1.78,0.49,0.81,0.09,1.02,4.35,1.51,1.5,22.97,6.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-127,72.7,14.2,1.97,0.39,1.38,3.36,4.29,0.28,0.1,0.05,-117.1222,34.2538,SanBernardino,b-127,2.14,12.88,16.27,0.06,2.88,1.15,20.29,39.08,190,329.47,5.75,117.37,13.57,1.49,3.48,873.01,22.24,53.45,5.16,19.16,2.98,0.93,1.76,0.4,0.86,0.2,0.6,0.24,0.73,3.83,1.15,0.48,20.28,4.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-128,63.7,16.3,5.04,2,4.51,3.37,3,0.63,0.21,0.09,-117.1361,34.2369,SanBernardino,b-128,8.64,93.93,22.96,0.1,13.32,4.69,25.28,56.25,100,555.55,17.66,167.63,14.9,3.51,1.22,1021.17,37.65,73.31,8.39,32.91,6.99,1.59,4.55,0.65,3.8,0.68,2.11,0.29,1.97,4.58,1.31,0.3,14.54,2.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-129,72.9,14,1.87,0.34,1.35,3.09,4.93,0.21,0.09,0.05,-117.1539,34.2204,SanBernardino,b-129,6.09,8.26,24.99,0.06,3.78,2.11,15.32,30.98,190,249.13,10.64,107.31,15.41,3.35,2.18,1037.01,22.98,55.86,6.15,22.43,3.59,0.79,2.18,0.37,2.53,0.39,1.86,0.27,1.64,3.52,1.74,0.39,22.77,4.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-130,73,14,1.88,0.42,1.6,3.36,4.39,0.27,0.11,0.04,-117.0903,34.2038,SanBernardino,b-130,3.7,20.77,18.72,0.06,3.87,2.78,22.14,42.15,198,313.29,8.49,121.33,16.55,1.64,3.17,911.41,29.16,66.52,6.51,25.94,4.76,1.15,3.14,0.42,2.18,0.25,0.92,0.26,0.86,4.19,1.63,0.44,20.62,4.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-131,73.6,13.9,1.84,0.29,1.63,3.31,4.29,0.19,0.07,0.03,-117.1505,34.183,SanBernardino,b-131,3.3,4.81,19.78,0.04,2.17,1.34,27.22,35.93,170,338.08,7.8,134.77,16.96,2.64,1.96,1261.51,41.61,83.61,9.11,32.01,5.91,1.17,3.4,0.77,2.1,0.71,1.14,0.39,0.94,4.19,0.93,0.42,27.98,7.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-132,72.8,14.1,1.9,0.32,1.74,3.41,3.86,0.22,0.08,0.04,-117.1416,34.1485,SanBernardino,b-132,4.55,9.23,24.2,0.05,1.65,1.79,18.53,42.05,129,393.14,11.95,114.14,12.01,2.84,1.97,1158.94,37.32,78.49,8.84,28.62,6.65,1.3,3.97,0.48,2.89,0.59,1.5,0.33,1.59,3.99,1.18,0.59,22.52,2.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-133,74.3,13.9,1.38,0.14,1.09,3.38,4.69,0.15,0.07,0.03,-117.1158,34.1763,SanBernardino,b-133,3.8,4.84,25.87,0.05,1.1,3.94,33.66,33.54,202,214.81,25.7,93.17,20.81,2.3,2.91,766.9,31.81,68.28,7.3,27.58,5.3,0.62,4.11,0.73,3.93,0.85,2.54,0.54,2.47,2.43,1.46,0.52,18.28,2.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-134,73.7,14,1.64,0.23,1.32,3.53,4.1,0.17,0.08,0.05,-117.1163,34.1919,SanBernardino,b-134,0,5.06,11.56,0.07,1.88,3.28,29.27,42.98,188,282.67,14.77,103.33,20.83,2.08,2.78,809.49,26.03,53.88,6.11,20.53,4.48,0.61,3,0.55,2.77,0.56,1.45,0.17,1.65,2.92,1.95,0.49,13.89,2.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-135,72.3,14.7,1.53,0.27,1.7,3.82,4.27,0.16,0.08,0.03,-117.149,34.2067,SanBernardino,b-135,0.63,11.81,21.69,0.04,2.1,2.96,21.76,28.92,125,665.13,5.35,89.25,5.98,1.7,1.91,1221.91,14.76,30.03,3.51,14.07,2.14,0.74,1.43,0.13,1.24,0.19,0.69,0.1,0.84,2.53,0.57,0.25,6.22,1.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-136,71.4,14.6,2.27,0.56,2,3.53,3.97,0.35,0.14,0.05,-117.082,34.223,SanBernardino,b-136,4.97,26.68,22.92,0.09,5.04,2.45,17.87,42.17,173,453,10.82,160.28,13.64,1.93,3.05,823.26,29.18,65.83,7.27,23.33,3.89,1.01,2.9,0.49,2.14,0.7,1.04,0.41,1.12,4.13,1.28,0.63,13.82,2.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-137,71.4,14.4,2.37,0.56,1.92,3.56,3.95,0.33,0.14,0.05,-117.0592,34.2422,SanBernardino,b-137,2.95,27.38,15.82,0.09,3.46,2.15,24.51,40.62,173,455.11,12.4,159.9,14,2.03,2.31,854.34,29.97,69.18,7.03,22.14,3.61,0.88,2.59,0.31,1.62,0.36,0.71,0.12,0.67,3.79,0.96,0.26,12.28,2.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-138,72.5,14.1,2.03,0.41,1.77,3.53,4.11,0.29,0.11,0.05,-117.0516,34.2545,SanBernardino,b-138,10.89,23.51,20.02,0.08,2.98,3.8,16.3,34.82,182,421.25,8.9,154.83,13.36,1.48,3,761.01,26.46,52.15,5.43,18.07,2.88,0.73,1.92,0.3,1.43,0.2,0.62,0.2,0.73,3.82,0.96,0.22,13.83,2.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-139,72.5,14.3,2.14,0.42,1.68,3.54,4.11,0.26,0.11,0.05,-117.0105,34.2547,SanBernardino,b-139,6.01,19.41,20.27,0.09,3.45,2.16,16.33,47.4,182,405.93,9.46,136.28,17.86,2.98,2.53,1100.03,34.48,79.28,7.38,23.76,3.67,0.85,2.34,0.34,1.81,0.33,0.75,0.05,0.9,4.14,1.38,0.29,13.43,3.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-140,72.2,14.3,1.96,0.42,1.74,3.34,4.39,0.27,0.12,0.04,-116.9801,34.2551,SanBernardino,b-140,2.85,23.01,10.68,0.08,2.09,2.33,12.46,38.62,207,377.8,9.74,128.37,15.89,1.5,4.07,904.77,29.1,61.24,6.5,22.83,3.62,0.7,2.15,0.33,1.7,0.33,0.95,0.11,0.71,3.4,1.47,0.25,16.31,3.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-141,70.5,14.5,2.38,0.56,2.07,3.52,4.12,0.35,0.13,0.05,-116.973,34.232,SanBernardino,b-141,11.3,30.85,25.5,0.09,4.72,25.83,28.21,46.07,179,501.52,10.61,133.19,16.52,1.97,2.45,1052.96,38.62,66.82,8.68,28.72,4.2,0.94,2.76,0.39,1.74,0.33,0.88,0.12,0.95,3.26,1.18,0.21,12.32,3.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-142,71.8,14.3,2.03,0.5,1.81,3.33,4.38,0.29,0.13,0.05,-116.947,34.2258,SanBernardino,b-142,3.04,22.57,14.42,0.08,4.48,3.15,12,33.44,184,390.71,11.08,157.13,14.9,1.51,2.17,1011.8,30.8,78.39,8.24,22.69,3.82,0.64,2.26,0.24,1.53,0.33,0.91,0.11,0.61,3.94,1.02,0.23,14.51,2.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-144,72.1,14,2.27,0.53,1.87,3.28,4.33,0.29,0.12,0.05,-116.961,34.187,SanBernardino,b-144,1.09,25.8,13.74,0.09,4.27,11.24,27.26,44.66,173,376.44,10.7,150.5,12.36,2.01,2.03,922.6,34.54,70.8,7.77,26.71,3.81,0.93,2.43,0.27,1.64,0.23,0.95,0.11,0.66,3.36,0.92,0.16,20.04,2.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-145,71.9,14.4,2.17,0.5,1.84,3.44,4.22,0.32,0.11,0.04,-116.9787,34.2011,SanBernardino,b-145,1.09,24.08,27.05,0.08,3.37,2.34,13.89,42.34,183,384.02,11.48,167.75,14.73,2.03,2.23,915.33,30.63,70.14,7.49,22.81,4.19,0.85,2.33,0.31,1.67,0.34,0.6,0.23,0.48,3.82,1.16,0.28,20.44,2.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-146,73,14,1.88,0.37,1.52,3.47,4.13,0.23,0.1,0.05,-117.0137,34.2228,SanBernardino,b-146,1.18,15.12,21.12,0.09,3.26,2.11,19.4,40.19,197,358.21,12.48,124.87,15.95,2.16,2.72,845.8,33.74,67.83,7.82,26.91,4.4,0.75,3,0.4,2.09,0.32,1.15,0.17,0.92,2.92,1.12,0.34,17.09,3.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-147,71.2,14.5,2.25,0.51,1.96,3.46,4.27,0.33,0.14,0.05,-116.9627,34.192,SanBernardino,b-147,4.56,27.69,24.23,0.09,5.27,1.15,15.06,39.33,180,440.51,11.1,158.14,13.86,1.82,2.64,1070.91,42.84,85.87,10,30.84,4.32,0.91,2.57,0.43,1.88,0.37,0.92,0.19,0.92,4.06,1.13,0.34,22.44,4.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-148,71.6,14.4,2.15,0.53,1.96,3.53,3.94,0.3,0.13,0.06,-117.0612,34.2068,SanBernardino,b-148,0,25.31,24.88,0.1,3.7,4.44,23.92,33.14,172,417.92,7.97,134.28,13.48,2.89,3.1,769.04,34.25,73.89,7.15,25.2,3.62,0.74,2.35,0.28,1.33,0.17,0.79,0.18,0.72,3.47,0.97,0.24,13.55,2.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-149,72.8,14.1,1.92,0.41,1.71,3.62,4.18,0.25,0.11,0.05,-117.0488,34.1944,SanBernardino,b-149,3.75,20.67,25.57,0.08,3.77,2.77,27.7,40.2,201,347.96,11.41,137.14,15.86,2.53,3.67,638.59,25.99,53.48,6.88,22.53,3.94,0.99,2.78,0.8,2.36,0.62,1.51,0.67,1.73,4.59,1.9,0.59,18.45,6.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-150,71.9,14.4,2.23,0.43,1.87,3.56,4.1,0.3,0.12,0.05,-117.025,34.186,SanBernardino,b-150,2.59,22.59,18.8,0.08,4.14,41.05,24.49,46.57,159,434.26,6.46,128.86,14.64,2.53,2.4,1150.88,34.55,71.5,7.37,25.57,3.86,0.86,2.13,0.52,1.77,0.4,0.51,0.18,0.65,3.9,1.12,0.79,17.18,4.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-151,70.4,14.8,2.64,0.62,2.28,3.66,3.9,0.38,0.15,0.05,-117.0154,34.1644,SanBernardino,b-151,4.08,26.59,15.66,0.08,4.98,4.63,34.68,55.14,154,499.86,11.93,172.31,13.9,1.94,2.71,982.41,35.66,69.9,8.04,29.36,5.02,1.33,3.05,0.57,2.12,0.53,1.13,0.26,1.33,4.68,1.27,0.2,14.23,5.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-152,65.8,15.7,4.35,1.55,3.93,3.43,3.02,0.55,0.18,0.07,-117.0422,34.1485,SanBernardino,b-152,7.8,78.35,27.02,0.11,10.97,7.06,23.6,54.81,113,526.6,15.56,181.83,13.65,2.38,1.79,879.79,32.3,62.7,7.01,26.92,5.21,1.2,3.5,0.5,2.82,0.57,1.51,0.26,1.56,4.36,1.15,0.75,10.87,3.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-153,67.2,15.7,3.59,0.84,2.84,3.83,3.68,0.36,0.17,0.09,-117.0902,34.1695,SanBernardino,b-153,6.33,50.29,18.07,0.12,5.12,4.82,18.14,45.45,127,825.98,19.39,163.38,11.9,3.27,2.7,1305.31,36.75,72.22,8.75,30.1,6.04,1.65,4.83,0.67,4.12,0.78,2.56,0.56,2.3,4.36,0.82,0.29,12.81,3.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-155,63.5,16.3,5.13,2.03,4.61,3.4,2.54,0.64,0.23,0.1,-116.9781,34.14,SanBernardino,b-155,8.28,97.51,19.67,0.13,14.87,6.29,20.92,61.1,102,527.43,19.21,165.76,14.37,2.23,1.66,758.69,23.28,55.99,6.77,26.95,5.66,1.55,4.66,0.63,4.11,0.66,1.95,0.32,2.03,4.88,1.22,0.2,9.66,2.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-156,64.7,16.4,4.86,1.51,4.23,3.78,2.48,0.56,0.22,0.09,-116.9762,34.1179,SanBernardino,b-156,8.66,84.6,16.88,0.11,10.42,7.79,20.21,66.67,94.5,808.27,20.2,205.87,10.73,1.81,1.42,734.27,30.15,58.98,7.29,24.79,5.49,1.32,4.14,0.68,3.84,0.77,1.98,0.28,2.02,5.07,0.56,0.14,9.4,1.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-157,72.1,14.5,2.02,0.37,1.62,3.66,4.38,0.24,0.12,0.04,-117.0156,34.1134,SanBernardino,b-157,2.67,13.02,12.03,0.05,2.6,1.46,26.69,41.9,175,428.44,18.73,145.79,18.19,1.43,1.68,952.13,32.46,62.11,6.82,23.47,4.26,0.92,3.67,0.6,3.3,0.72,2.12,0.25,1.89,4.03,1.9,0.33,15.27,3.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-158,60.2,17.2,6.06,2.2,4.87,3.53,2.47,0.77,0.29,0.09,-117.0291,34.1131,SanBernardino,b-158,9.13,98.94,15.1,0.12,14.71,4.72,29.12,89.87,95.6,792.52,16.22,181.01,8.5,1.35,1.5,1150.9,35.66,64.42,7.64,27.7,5.24,1.58,4.11,0.59,2.8,0.51,1.55,0.2,1.54,4.13,0.5,0.19,8.63,1.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-159,64.1,15.9,5.15,2.14,4.36,3.23,2.9,0.62,0.19,0.08,-116.9627,34.1558,SanBernardino,b-159,9.39,91.73,30.09,0.11,14.36,6.8,35.23,63.01,95,560.71,15.16,130.69,11.31,1.74,0.98,1153.69,25.94,47.24,5.77,22.25,4.54,1.03,3.46,0.52,2.7,0.56,1.52,0.25,1.29,3.04,0.8,0.27,9.58,1.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-160,65.4,15.9,4.71,1.82,4.16,3.46,2.68,0.57,0.18,0.09,-116.9382,34.1598,SanBernardino,b-160,10.91,70.31,20.18,0.12,11.48,10.5,32.7,53.06,98.6,460.51,12.76,108.97,9.6,1.64,1.3,574.14,21.47,44.06,5.31,19.23,3.48,0.89,2.8,0.39,2.11,0.43,1.15,0.18,1.04,2.47,0.73,0.18,8.32,1.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-161,66.8,15.4,4.36,1.55,3.83,3.3,3.17,0.51,0.17,0.08,-116.9235,34.16,SanBernardino,b-161,6.81,68.65,18.71,0.11,10.18,6.31,30.27,49.43,104,445.8,15.42,176.49,11.6,1.92,1.07,828.82,27.16,54.58,6.36,23.27,4.59,1.24,3.79,0.69,2.91,0.51,1.59,0.22,1.58,4.84,1.11,0.23,11.31,2.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-162,68.9,15.1,3.43,0.79,2.48,3.63,3.54,0.33,0.15,0.09,-116.8967,34.1298,SanBernardino,b-162,6.77,36.76,31.4,0.14,6.37,10.2,45.57,59.82,135,663.71,21.92,173.05,14.62,1.51,3.02,1214.23,30.21,56.26,6.57,24.52,5.11,1.31,4.53,0.67,3.73,0.77,2.46,0.4,2.21,4.04,0.74,0.33,7.79,1.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-163,59,17,6.81,2.89,4.79,3.6,2.25,0.79,0.22,0.12,-116.8816,34.0824,SanBernardino,b-163,3.94,7.92,19.41,0.05,0.67,4.64,24.25,21.52,148,445,14.64,119.03,6.49,2.15,1.43,1185.83,24.59,44.44,5.18,18,3.9,0.9,2.73,0.65,3.01,0.55,1.68,0.3,1.71,4.19,0.99,0.46,14.72,2.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-164,73.3,14.1,1.83,0.28,1.3,3.47,4.45,0.15,0.11,0.04,-116.9411,34.0591,SanBernardino,b-164,18.9,132.64,23.29,0.16,20.49,125.02,34.2,80.3,82,554.54,25.2,174.46,11.81,1.73,0.44,805.08,24.75,51.94,6.36,26.67,6.28,1.37,5.03,0.85,4.42,0.86,2.56,0.33,1.93,4.2,0.54,0.3,7,0.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-165,75.2,13.5,1.47,0.25,1.62,3.38,3.55,0.14,0.08,0.05,-116.8209,34.1135,SanBernardino,b-165,2.92,4.09,13.44,0.09,1.75,2.2,13.71,42.01,136,409.52,8.87,91,12.36,1.51,2.02,1107.91,25.81,46.24,4.84,16.59,2.7,0.66,1.89,0.29,1.66,0.29,0.76,0.12,0.77,2.18,0.92,0.19,9.89,0.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-166,58.2,17.1,6.82,3.04,5.89,3.4,1.92,0.86,0.28,0.1,-116.7545,34.0611,SanBernardino,b-166,13.87,121.03,32.94,0.15,22.28,12.69,30.47,90.37,66.5,746.24,26.78,164.31,11.35,1.3,0.49,895.23,39.1,72.33,8.45,32.59,6.66,1.6,5.11,0.8,4.45,0.85,2.49,0.36,2.26,3.83,0.81,0.29,6.53,0.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-168,59.4,17,6.69,3,5.77,3.34,2.28,0.84,0.25,0.11,-116.8081,34.1709,SanBernardino,b-168,11.43,130.48,30.69,0.13,21.09,8.86,21.14,58.34,74.1,578.68,16.28,97.72,9.57,2.72,1.36,821.6,28.08,63.73,8.83,32.29,7.68,2.46,5.37,1.36,4.65,1.58,2.98,1.18,2.3,4.11,1.23,1.22,9.59,2.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-169,58.6,16.9,7.12,3.08,6.13,3.46,2.06,0.92,0.26,0.1,-116.775,34.169,SanBernardino,b-169,15.49,122.94,19.43,0.14,21.56,8.12,25.46,77.58,70.4,616.64,18.34,145.59,8.63,1.65,0.88,606.71,24.49,49.64,6.28,25.72,5.44,1.39,4.29,0.6,3.5,0.63,1.77,0.28,1.47,3.75,0.67,0.18,6.39,0.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-170,71,15.2,2.18,0.49,2.62,4,2.68,0.26,0.11,0.05,-116.7128,34.1614,SanBernardino,b-170,4.59,13.49,6.91,0.07,4.09,1.81,12.28,45.82,91.9,603.17,9.88,163.38,9.23,1.6,0.96,1335.77,30.82,52.08,5.52,18,2.87,0.97,1.68,0.31,1.5,0.35,0.82,0.15,0.97,3.87,0.51,0.07,8.61,0.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-171,69.2,15.6,2.95,0.91,2.89,3.91,2.75,0.38,0.18,0.07,-116.6959,34.1496,SanBernardino,b-171,15.65,33.19,12.48,0.1,5.33,1.5,10.15,50.05,125,468.25,13.92,138.24,13.51,1.12,1.81,788.17,34.4,66,7.35,24.86,4.05,1.01,2.99,0.51,2.57,0.61,1.63,0.3,1.46,3.77,1.24,0.17,13.45,1.51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-172,61.2,16.5,6.4,2.63,5.22,3.71,1.96,0.78,0.25,0.12,-116.714,34.1646,SanBernardino,b-172,16.23,121.92,22.17,0.15,17.38,4.53,16.32,79.32,120,459.43,21.96,84.27,17.69,2.15,2.04,542.09,25.16,59.36,7.61,32,6.74,1.68,5.52,1.01,4.92,1.14,2.7,0.49,1.99,3,1.76,0.26,10.64,3.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-173,73.5,13.9,1.36,0.24,1.37,3.28,4.87,0.17,0.09,0.03,-116.7362,34.1762,SanBernardino,b-173,3.79,10.72,12,0.05,2.42,0.96,11.72,28.78,189,284.84,11.54,107.23,14.01,1.63,1.7,963.34,32.34,75.12,6.59,21.97,3.98,0.93,2.34,0.38,2.01,0.45,0.99,0.23,0.94,2.98,1.01,0.18,20.36,1.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-175,71.6,14.5,2.34,0.59,2.14,3.2,4.09,0.27,0.12,0.08,-116.7296,34.2044,SanBernardino,b-175,6.37,19.7,14.43,0.13,3.58,2.45,13.26,24.47,144,304.32,18.84,130.46,10.58,1.61,1.26,1015.3,41.09,79.87,8.92,31.7,5.87,1.35,4.48,0.92,3.71,0.91,2.34,0.26,2.55,3.79,1.05,0.2,15.51,1.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-176,71,15.2,2.09,0.52,2.66,3.82,2.77,0.25,0.1,0.03,-116.7027,34.2048,SanBernardino,b-176,3.32,14.9,9.93,0.05,2.61,2.74,12.44,43.81,81.2,612.07,7.17,146.52,5.88,1.75,0.82,1392.53,31.7,51.86,5.33,18.41,2.5,0.74,1.78,0.24,1.03,0.23,0.42,0.11,0.74,3.49,0.32,0.28,9.52,0.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-177,72.8,13.9,1.68,0.28,1.39,3.45,4.76,0.19,0.08,0.04,-116.6919,34.1965,SanBernardino,b-177,4.93,17.77,22.52,0.07,2.18,1.94,21.92,34,205,274.46,5.79,104.33,7.61,1.71,1.42,699.59,31.4,61.43,6.51,24.38,4.45,0.82,2.56,0.34,1.37,0.22,0.46,0.01,0.46,3.12,0.22,0.09,17.64,1.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-178,74.3,13.6,1.17,0.13,0.98,3.18,4.96,0.11,0.07,0.03,-116.6636,34.1789,SanBernardino,b-178,5.99,6.82,29.87,0.06,1.33,3.77,27.82,25.02,202,223.65,19.67,83.46,16.76,2.02,2.22,941.12,29.75,58.09,5.84,20.2,4.17,0.79,2.98,0.71,3.29,0.6,1.96,0.27,1.93,2.04,1.22,0.65,16.33,1.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-180,71.8,14.6,1.89,0.56,1.82,3.8,3.94,0.24,0.11,0.08,-116.6666,34.2378,SanBernardino,b-180,4.83,30.75,12.68,0.12,5.22,1.96,20.94,36.63,153,348.56,12.36,69.19,16.46,1.24,1.89,692.73,20.19,40.53,4.82,17.61,3.82,0.85,2.5,0.43,2.35,0.44,1.16,0.16,1,2.1,0.9,0.15,7,1.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-181,73.6,14.1,1.51,0.27,1.47,3.4,4.05,0.15,0.09,0.05,-116.6905,34.2381,SanBernardino,b-181,1.66,10.92,24.34,0.08,1.45,2.51,18.15,24.43,156,317.89,12.79,87.97,13.51,3.55,1.83,1025.36,26.27,56.37,6.13,22.7,3.99,1.05,3.13,0.32,2.48,0.43,1.27,0.16,1.09,2.48,1.38,0.54,13.17,1.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-182,70.6,14.3,3.09,0.81,2.39,3.15,3.83,0.4,0.15,0.07,-116.6316,34.2105,SanBernardino,b-182,6.64,35.58,26.62,0.085,4.43,10.08,36.91,36.74,167.5,230.3,16.66,137.25,13.015,2.595,1.735,834,63.6,78.19,7.855,29.255,6.02,1.825,4.55,1.33,4.4,1.76,2.615,1.28,2.83,5.25,1.645,1.1,19.14,2.675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
