Sample,SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,MnO,longitude,latitude,block,samplecomp,Sc,V,Cr,Mn,Co,Ni,Cu,Zn,Rb,Sr,Y,Zr,Nb,Mo,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,Ta,W,Th,U
B-23,63.5,16.5,5.02,1.7,4.83,4.01,1.84,0.94,0.3,0.07,-118.4,34.65,SanGabriel,b-23,6.49,75.58,14.89,0.07,9.16,48.79,9.2,80.83,82.3,859.17,14.78,267.35,16.8,2.6,1.19,692.03,30.86,73.67,9.5,36.08,7.02,1.75,4.44,0.75,3,0.58,1.26,0.19,1.29,7.06,1.13,0.26,9.11,1.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-24,60.8,16.6,5.92,2.64,5.32,3.53,2.14,0.93,0.25,0.09,-118.35,34.64,SanGabriel,b-24,11.9,137.39,44.98,0.1,16.6,48.55,9.12,80.53,112,623.66,25.02,227.21,23.78,2.64,2.63,940.71,37.07,86.3,11.53,46.74,11.17,2.13,8.51,1.13,6.51,1.07,3.43,0.65,3.44,6,2.23,0.5,16.15,2.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-25,72.8,13.8,2.08,0.34,1.5,3.69,3.73,0.26,0.11,0.08,-118.55,34.54,SanGabriel,b-25,2.38,11.09,12.46,0.08,1.06,9.34,5.29,50.81,113,329.55,16,122.05,10.57,1.18,1.64,810.81,29.34,59.8,6.2,27.94,5.78,1.05,4,0.66,3.56,0.85,2.68,0.39,2.47,4.28,0.61,0.4,13.2,2.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-26,73.5,14.1,1.73,0.33,1.24,3.35,4.35,0.17,0.09,0.03,-118.65,34.57,SanGabriel,b-26,4.19,12.7,16.04,0.04,1.9,22.9,9.59,43.09,135,318.47,19.42,92.58,9.52,1.35,1.84,1179.81,26.44,48.65,5.46,22.29,4.08,0.87,3.86,0.59,4.04,0.93,2.34,0.29,2.52,3,0.93,0.45,11.05,2.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-27,60.8,17.6,5.51,1.52,4.51,4.12,2.78,0.71,0.39,0.12,-117.95,34.4,SanGabriel,b-27,5.62,70.49,7.77,0.12,10.1,18.91,12.27,52.63,48.6,530.98,17.4,160.15,17.44,1.16,0.99,985.54,47.21,90.32,10.73,39.82,7.42,1.62,6.01,0.63,4.39,0.91,2.89,0.47,2.21,4.17,1.05,0.16,10.41,0.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-28,69.2,15.3,2.7,0.81,2.34,3.75,4.2,0.36,0.15,0.05,-117.92,34.31,SanGabriel,b-28,0.97,46.22,21.51,0.06,5.81,19.43,21.76,57.89,124,420.93,8.23,148.26,12.8,1.91,1.5,1419.46,38.97,80.76,8.3,31.85,6.49,1.17,3.37,0.4,2.01,0.39,0.97,0.23,0.99,4.65,1.43,0.32,12.94,2.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-29,65.1,16.2,4.26,1.42,3.89,3.88,2.91,0.74,0.24,0.07,-117.8,34.4,SanGabriel,b-29,6.79,70.29,13.86,0.08,9.37,11.11,9.47,87.91,96.3,675.57,13.94,211.07,15.69,2.06,1.53,993.11,36.99,76.01,8.83,35.12,7.42,1.36,4.78,0.65,3.3,0.69,1.59,0.22,1.42,5.86,1.25,0.31,16.76,2.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-30,65.9,15.6,4.43,1.4,3.06,4.03,3.16,0.67,0.21,0.07,-117.85,34.3,SanGabriel,b-30,7.11,85.05,11.43,0.08,11.44,11.85,15.03,56.72,61.5,557.78,9.22,206.54,8.3,0.87,0.85,1986.54,63.9,113.6,10.87,38.2,5.99,1.68,3.61,0.45,2.31,0.39,1.34,0.17,1.25,5.52,0.46,0.4,14.46,1.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-31,67,16.2,3.01,0.56,2.2,4.4,4.51,0.44,0.15,0.07,-117.88,34.25,SanGabriel,b-31,4.38,17.11,9.96,0.08,3.15,25.04,10.45,55.8,78.1,510.83,16.97,274.39,10.62,1.76,0.63,3364.61,125.27,212.13,20.8,66.6,9.69,2.22,6.15,0.77,3.67,1.1,2.32,0.36,2.34,7.54,0.71,0.22,32.6,1.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-32,63.4,16.7,5.01,1.74,4.57,3.69,2.74,0.57,0.23,0.08,-118.1974,34.3047,SanGabriel,b-32,8.1,80.6,13.94,0.09,12.08,9.66,18.02,73,69.4,616.22,14.81,144.65,7.99,1.33,1.16,1204.5,18.24,41.49,5.12,23.36,5.2,1.55,3.93,0.64,3.01,0.87,1.47,0.16,2.03,4.49,0.65,0.17,5.96,1.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-33,60.4,17.3,6.38,2.35,5.33,3.77,2.1,0.69,0.28,0.11,-118.1212,34.3101,SanGabriel,b-33,9.49,98.74,17.47,0.14,16.1,15.94,24.48,79.34,73.9,695.91,18.86,183.28,12.34,1.31,1.41,944.84,30.63,63.52,8.04,32.79,6.28,1.62,5.23,0.7,4.03,0.85,2.28,0.24,2.1,4.91,1.1,0.21,9.41,1.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-34,66.3,15.9,4.3,1.5,3.49,3.49,3.17,0.56,0.2,0.09,-118.2472,34.2769,SanGabriel,b-34,8.43,57.85,17.34,0.1,10.6,13.38,6.74,73.3,134,454.59,32.05,182.39,14.73,1.9,1.56,1332.6,39.15,76.35,8.82,33.33,7.67,1.53,5.84,1.15,6.54,1.51,4.57,0.75,4.04,5.08,1.35,0.24,14.31,2.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-35,73.1,13.9,1.87,0.42,1.62,3.6,4.16,0.2,0.09,0.05,-118.1652,34.2792,SanGabriel,b-35,2.6,22.54,21.93,0.07,4.36,18.27,4.47,45.84,122,287.12,11.77,78.5,12.97,1.92,1.85,931.61,23.49,48.65,5.74,19.63,4.95,0.8,3.96,0.13,3.22,0.48,1.91,0.21,1.21,2.64,0.77,0.24,14.37,1.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-36,66.5,15.5,3.96,1.44,3.24,3.6,3.62,0.47,0.17,0.07,-118.0182,34.2794,SanGabriel,b-36,3.94,61.28,21.03,0.1,11.17,16.99,20.35,68.65,104,544.71,14.11,173.14,11.28,1,1.25,1457.02,37.58,76.61,8.39,31.2,5.58,1.26,4.56,0.65,3.13,0.7,2.01,0.24,1.66,5.24,1.04,0.21,13.35,2.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-38,59.2,16.8,6.7,3.27,6.49,3.3,1.79,0.73,0.22,0.12,-118.2497,34.1837,SanGabriel,b-38,15.19,160.15,57.92,0.15,20.01,12.09,34.59,67.2,50,557.07,21.02,118.83,12.03,0.96,0.73,768.21,27.94,61.54,7.87,29.58,6.45,1.61,5.62,0.92,4.9,1.18,2.45,0.5,2.38,3.9,0.95,0.41,4.37,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-39,58.3,17,6.69,3.09,5.7,3.99,2.22,0.81,0.27,0.11,-118.0496,34.2423,SanGabriel,b-39,13.54,151.4,50.81,0.13,25.76,21.05,29.27,68.48,79.6,823.03,19.63,218.97,10.37,2.1,1.27,995.8,36.05,77.42,9.39,36.95,8.1,1.81,5.82,0.86,4.36,1.09,2.14,0.3,1.95,5.98,0.62,0.51,11.14,2.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-40,62.7,15.6,5.37,2.3,4.37,3.58,2.97,0.69,0.23,0.08,-118.0484,34.1815,SanGabriel,b-40,10.35,95.91,35.88,0.1,19.75,26.65,53.59,77.72,88.7,716.65,13.91,204.36,9.89,2.47,1.07,1139.84,47.55,94.32,10.85,37.16,7.45,1.47,5.14,0.69,3.57,0.78,1.73,0.31,1.55,5.44,0.71,0.53,18.51,3.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-41,53.9,18.2,7.8,3.15,6.79,3.71,1.93,1.05,0.33,0.1,-117.9104,34.1826,SanGabriel,b-41,12.42,150.04,48.04,0.13,26.25,17.16,43.07,124.3,76.5,762.99,19.84,258.88,11.56,1.32,1.52,961.96,35.53,75.47,9.31,34.7,8.28,1.93,6.19,0.74,4.63,0.79,2.17,0.42,1.63,6.33,0.45,0.28,4.23,0.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-42,60.3,16.2,6.2,2.67,4.26,3.94,2.83,0.75,0.25,0.09,-117.98,34.1837,SanGabriel,b-42,12.34,147.77,52.5,0.12,19.91,24.44,36.36,92.78,85.5,886.47,14.52,286.68,7.38,2.06,0.57,1601.17,32.18,66.69,7.5,29.77,6.08,1.03,4.3,0.6,2.9,0.67,1.86,0.23,1.24,6.36,0.5,0.47,8.93,1.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-44,62.9,17.3,4.92,1.41,3.91,4.04,3.13,0.72,0.28,0.08,-117.7699,34.1859,SanGabriel,b-44,8.87,66.93,13.86,0.1,13.34,14.61,20.79,76.66,91.9,513.62,34.92,396.5,18.03,0.81,1.54,1674.95,67.35,131.63,14.32,54.57,10.77,2.07,8.43,1.28,6.99,1.49,3.95,0.44,4.17,8.79,1.42,0.26,12.66,2.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-45,69.2,15.9,2.24,0.91,2.56,4.66,2.7,0.35,0.13,0.04,-117.58,34.23,SanGabriel,b-45,0.69,26.38,67.55,0.05,4.15,17.25,5,51.76,89.7,484.8,6.73,105.45,6.67,0.68,4.06,936.62,19.98,39.29,4.83,19.64,3.47,1,2.57,0.62,1.76,0.5,1.2,0.41,1.08,3.31,0.73,0.31,10.87,2.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-46,70.7,15.3,2.05,0.48,2.19,3.96,3.61,0.36,0.14,0.04,-117.5331,34.2125,SanGabriel,b-46,3.84,18.07,12.88,0.05,3.47,11.85,4.69,61.21,128,522.79,11.97,161.48,12.64,1.28,2.04,1171.2,31.93,64.57,7.63,25.35,4.66,0.67,2.75,0.47,2.52,0.54,1.31,0.19,1.44,4.32,1.04,0.23,16.97,1.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-47,70,15.3,2.4,0.55,2.51,3.91,3.51,0.42,0.15,0.04,-117.5,34.16,SanGabriel,b-47,3.49,20.3,8.89,0.05,1.78,19.23,5.03,61.07,112,535.85,9.85,165.58,10.71,1.3,1.59,1279.98,35.88,68.69,7.35,28.57,5.08,1.11,3.17,0.69,2.16,0.63,1.24,0.14,1.26,4.63,0.76,0.12,14.37,2.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-48,69.4,15.7,2.29,0.99,2.55,4.22,2.71,0.35,0.14,0.03,-117.47,34.16,SanGabriel,b-48,2.59,27.07,41.79,0.05,3.92,10.18,4.14,44.62,88.4,522.18,5.42,102.36,5.48,1.68,5.23,1238.69,22.53,43.9,5.54,19.47,3.74,0.43,2.3,0.41,1.49,0.43,0.8,0.07,0.8,3.36,0.58,0.19,10.9,2.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-49,69.4,15.7,2.28,0.98,2.47,4.21,2.64,0.35,0.32,0.03,-117.4178,34.2093,SanBernardino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-54,73,14.3,1.57,0.3,1.89,3.64,3.72,0.2,0.1,0.04,-116.562,34.168,SanBernardino,b-54,3.9,6.61,12.39,0.05,0.98,0.26,11.41,43.45,127,458.3,10.21,134.96,15.24,1.38,1.46,1448.06,32.74,58.94,6.3,21.41,3.57,0.6,1.87,0.25,1.76,0.4,1.53,0.4,1.5,3.38,0.94,0.3,17.1,1.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-56,69.9,14.7,2.95,0.82,2.86,3.25,3.28,0.44,0.17,0.04,-117.4862,34.3095,SanBernardino,b-56,3.55,52.24,33.75,0.06,6.57,2.12,19.61,41.22,91.3,667.94,8.86,140.87,8.61,4.36,2.17,2206.83,31.74,63.36,6.05,24.19,4.8,1.33,3.06,0.14,2.08,0.22,0.68,0.11,0.77,3.42,0.98,0.46,15.28,2.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-57,63.7,16.1,5.05,1.97,4.1,3.63,2.84,0.73,0.25,0.1,-117.3893,34.2991,SanBernardino,b-57,11.34,85.73,16.52,0.12,11.88,6.51,14.97,72.88,98.9,571.66,25.8,225.62,13.7,1.74,0.98,856.61,37.73,78.15,9.84,38.45,8.5,1.88,6.65,0.92,5.3,1.33,2.97,0.33,2.71,6.22,1.45,0.2,18.31,1.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
